product_code,major category,minor category,production type,multiplication_factor
pp002,Banana,Banana baby,Banana baby: costera (<800m sobre el nivel del mar),1
pp003,Banana,Banana baby,Banana baby: montaña (≥800m sobre el nivel del mar),1
pp001,Banana,Banana (fresca),Banana (fresca),1
pp005,Banana,Banana (otro),Otro [especificar],1
pp004,Banana,Plátano (fresco),Plátano (fresco),1
pp007,Azucar de caña,Azucar de caña,Otro [especificar],1
pp321,Azucar de caña,Azucar de caña,Azucar,1
pp006,Azucar de caña,Azucar de caña,Caña de azúcar,0.1
pp311,Cereales,Mijo,Mijo,1
pp243,Cereales,Cereales (otro),Otro [especificar],1
pp329,Cereales,Qañiwa,Qañiwa,1
pp242,Cereales,Quinoa,Quinoa,1
pp244,Arroz,Arroz,Basmati: Pusa,1
pp245,Arroz,Arroz,Basmati: tradicional,1
pp246,Arroz,Arroz,petit poussin negro y petit poussin blanco,1
pp604,Arroz,Arroz,Grano largo de Brazil,1
pp605,Arroz,Arroz,Grano largo aromático birmano,1
pp606,Arroz,Arroz,Grano largo aromático camboyano,1
pp607,Arroz,Arroz,Giza,1
pp247,Arroz,Arroz,Arroz glutinoso: negro o violeta,1
pp248,Arroz,Arroz,Arroz glutinoso: blanco,1
pp608,Arroz,Arroz,Hsin Thu Kha,1
pp249,Arroz,Arroz,Jasmine y Jasmine Rojo,1
pp609,Arroz,Arroz,Ma Naw Thu Kha,1
pp610,Arroz,Arroz,Mandarina,1
pp611,Arroz,Arroz,No-Basmati y No-Sarbati,1
pp612,Arroz,Arroz,No glutinoso negro,1
pp613,Arroz,Arroz,No glutinoso rojo,1
pp250,Arroz,Arroz,Convencional de grano largo,1
pp253,Arroz,Arroz,Otro [especificar],1
pp614,Arroz,Arroz,Paw San,1
pp251,Arroz,Arroz,Sarbati,1
pp616,Arroz,Arroz,Shwe Thwe Lay,1
pp617,Arroz,Arroz,Arroz Thai de grano largo,1
pp252,Arroz,Arroz,Selección tradicional de Sri Lanka,1
pp636,Cereales,Sorgo,Sorgo,1
pp008,Cacao,Cacao,Granos de cacao (brutos),1
pp009,Cacao,Cacao,Otro [especificar],1
pp011,Café,Arabica,Arábica: cereza deshidratada,0.5
pp010,Café,Arabica,Arábica: cereza sin procesar,0.5
pp012,Café,Arabica,Arábica: pergamino sin lavar,0.8
pp013,Café,Arabica,Arábica: pergamino lavado,0.8
pp018,Café,Café (otro),Otro [especificar],1
pp015,Café,Robusta,Robusta: cereza deshidratada,0.5
pp014,Café,Robusta,Robusta: cereza sin procesar,0.5
pp016,Café,Robusta,Robusta: pergamino sin lavar,0.8
pp017,Café,Robusta,Robusta: pergamino lavado,0.8
pp348,Flores y Plantas,Plantas,Bulbos,1
pp044,Flores y Plantas,Flores y follajes cortados,Flores cortadas,1
pp046,Flores y Plantas,Flores y follajes cortados,Flores y follajes cortados,1
pp045,Flores y Plantas,Flores y follajes cortados,Follaje cortado,1
pp047,Flores y Plantas,Plantas,Plantas ornamentales,1
pp350,Flores y Plantas,Plantas,Material de plantas jóvenes,1
pp048,Flores y Plantas,Flores y Plantas (otro),Otro [especificar],1
pp049,Fonio,Fonio,Fonio,1
pp050,Fonio,Fonio,Otro [especificar],1
pp019,"Fruta procesada (zumo, deshidratada y pulpa)",Acái,Acái (deshidratado),1
pp020,"Fruta procesada (zumo, deshidratada y pulpa)",Manzanas,Manzanas (deshidratadas),1
pp021,"Fruta procesada (zumo, deshidratada y pulpa)",Albaricoque,Albaricoque (deshidratado),1
pp022,"Fruta procesada (zumo, deshidratada y pulpa)",Banana,Banana (deshidratada),1
pp023,"Fruta procesada (zumo, deshidratada y pulpa)",Arándano,Arándano (deshidratado),1
pp024,"Fruta procesada (zumo, deshidratada y pulpa)",Cereza,Cereza (deshidratada),1
pp025,"Fruta procesada (zumo, deshidratada y pulpa)",Cocos,Coco (deshidratado),1
pp026,"Fruta procesada (zumo, deshidratada y pulpa)",Datiles,Datiles (deshidratado),1
pp027,"Fruta procesada (zumo, deshidratada y pulpa)",Limas,Limas (deshidratada),1
pp028,"Fruta procesada (zumo, deshidratada y pulpa)",Mango,Mango (deshidratado),1
pp029,"Fruta procesada (zumo, deshidratada y pulpa)",Melon (Cumumis melo),Melón (Cumumis melo) (deshidratado),1
pp041,"Fruta procesada (zumo, deshidratada y pulpa)",Fruta procesada (otro),Otras frutas deshidratadas [especificar],1
pp030,"Fruta procesada (zumo, deshidratada y pulpa)",Papaya,Papaya (deshidratada),1
pp031,"Fruta procesada (zumo, deshidratada y pulpa)",Pera,Peras (deshidratadas),1
pp327,"Fruta procesada (zumo, deshidratada y pulpa)",Caqui,Caqui (deshidratado),1
pp032,"Fruta procesada (zumo, deshidratada y pulpa)",Physalis,Physalis (deshidratado),1
pp033,"Fruta procesada (zumo, deshidratada y pulpa)",Piña,Piña (deshidratada),1
pp034,"Fruta procesada (zumo, deshidratada y pulpa)",Ciruelas,Ciruelas (deshidratadas),1
pp035,"Fruta procesada (zumo, deshidratada y pulpa)",Granado,Granado (deshidratado),1
pp036,"Fruta procesada (zumo, deshidratada y pulpa)",Pasas,Pasas (deshidratadas),1
pp037,"Fruta procesada (zumo, deshidratada y pulpa)",Frambuesas,Frambuesas (deshidratadas),1
pp038,"Fruta procesada (zumo, deshidratada y pulpa)",Sultana,Sultana (deshidratada),1
pp039,"Fruta procesada (zumo, deshidratada y pulpa)",Sandía,Sandía (deshidratada),1
pp040,"Fruta procesada (zumo, deshidratada y pulpa)",Albaricoque silvestre,Albaricoque silvestre (deshidratado),1
pp051,Fruta fresca,Acái,Acái (deshidratado),1
pp052,Fruta fresca,Manzanas,Manzanas (frescas),1
pp053,Fruta fresca,Albaricoque,Albaricoque (fresco),1
pp054,Fruta fresca,Aguacate,Aguacate (fresco),1
pp055,Fruta fresca,Baobab,Baobab (fresco),1
pp056,Fruta fresca,Casis,Casis (fresco),1
pp057,Fruta fresca,Arándano,Arándano (fresco),1
pp058,Fruta fresca,Cereza,Cereza (fresca),1
pp059,Fruta fresca,Dátiles,Dátiles (frescos),1
pp060,Fruta fresca,pitahaya,pitahaya (fresca),1
pp061,Fruta fresca,Pomelo (Toronja),Pomelo (Toronja) (fresco),1
pp634,Fruta fresca,Fruta de Jaca,Fruta de Jaca (fresca),1
pp631,Fruta fresca,Lanzon,Lanzon (fresco),1
pp062,Fruta fresca,Limones,Limones (frescos),1
pp063,Fruta fresca,Limas,Limas (frescas),1
pp064,Fruta fresca,Litchi,Litchi (fresco),1
pp065,Fruta fresca,Mangos,Mangos (frescos),1
pp632,Fruta fresca,Mangostino,Mangostino (fresco),1
pp066,Fruta fresca,Marula,Marula (fresca),1
pp067,Fruta fresca,Melón (Cumumis melo),Melón (Cumumis melo) (fresco),1
pp068,Fruta fresca,Mini Sandía,Mini Sandía (fresca),1
pp069,Fruta fresca,Nectarinas,Nectarinas (frescas),1
pp070,Fruta fresca,Naranjas,Naranjas (frescas),1
pp071,Fruta fresca,Naranjas: Navel,Naranjas: Navel (frescas),1
pp072,Fruta fresca,Naranjas: Valencia,Naranjas: Valencia (frescas),1
pp092,Fruta fresca,Fruta fresca (otro),Fruta fresca (otro),1
pp103,Oro y metales preciosos asociados,Oro,Oro: convencional,1
pp104,Oro y metales preciosos asociados,Oro,Oro: ecológico,1
pp109,Oro y metales preciosos asociados,Oro y metales preciosos asociados (otro),Otro [especificar],1
pp107,Oro y metales preciosos asociados,Platino,Platino: convencional,1
pp108,Oro y metales preciosos asociados,Platino,Platino: ecológico,1
pp105,Oro y metales preciosos asociados,Plata,Plata: convencional,1
pp106,Oro y metales preciosos asociados,Plata,Plata: ecológica,1
pp110,Hierbas aromáticas y especias e infusiones de hierbas,Achochilla ,Achochilla (Cyclanthera tenuisepala),1
pp111,Hierbas aromáticas y especias e infusiones de hierbas,Agave,"Agave (Agave tequilana, A. salmiana)",1
pp112,Hierbas aromáticas y especias e infusiones de hierbas,Ajowan,Ajowan (Trachyspermum ammi),1
pp372,Hierbas aromáticas y especias e infusiones de hierbas,Alfalfa,Alfalfa (Medicago sativa),1
pp113,Hierbas aromáticas y especias e infusiones de hierbas,Pimienta de Jamaica,Pimienta de Jamaica (Pimenta dioica),1
pp114,Hierbas aromáticas y especias e infusiones de hierbas,Flor de almendro,"Flor de almendro (Prunus dulcis, var. dulcis)",1
pp115,Hierbas aromáticas y especias e infusiones de hierbas,Aloe,Aloe (Aloe vera),1
pp373,Hierbas aromáticas y especias e infusiones de hierbas,Altimisa,Altimisa (Ambrosia arborescens),1
pp374,Hierbas aromáticas y especias e infusiones de hierbas,Amaranto semilla,Amaranto semilla,1
pp375,Hierbas aromáticas y especias e infusiones de hierbas,Angélica,"Angélica (Angelica sylvestris, A. archangelica)",1
pp376,Hierbas aromáticas y especias e infusiones de hierbas,Angélica,"Raíz de angélica (Angelica sylvestris, A. archangelica)",1
pp377,Hierbas aromáticas y especias e infusiones de hierbas,Angélica,"Tallo de angélica (Angelica sylvestris, A. archangelica)",1
pp116,Hierbas aromáticas y especias e infusiones de hierbas,Anis de syzygium,Anis de syzygium (Syzygium anisatum),1
pp117,Hierbas aromáticas y especias e infusiones de hierbas,Anis verde,Anis verde (Pimpinella anisum),1
pp378,Hierbas aromáticas y especias e infusiones de hierbas,Semilla de achiote/onoto,Semilla de achiote/onoto (Bixa orellana),1
pp118,Hierbas aromáticas y especias e infusiones de hierbas,Semilla de albaricoque,Semilla de albaricoque (Prunus armeniaca L.),1
pp627,Hierbas aromáticas y especias e infusiones de hierbas,Azúcar/nectar de Arenga,Azúcar/nectar de Arenga,1
pp119,Hierbas aromáticas y especias e infusiones de hierbas,Asafétida,Asafétida (Ferula assa-foetida),1
pp315,Hierbas aromáticas y especias e infusiones de hierbas,Azúcar de palmera de Palmyra,Azúcar de palmera de Palmyra,1
pp379,Hierbas aromáticas y especias e infusiones de hierbas,Azúcar de palmera de Palmyra,Azúcar de palmera de Palmyra (Borassus flabellifer): yemas,1
pp380,Hierbas aromáticas y especias e infusiones de hierbas,Azúcar de palmera de Palmyra,Azúcar de palmera de Palmyra (Borassus flabellifer): savia de las espádices,1
pp381,Hierbas aromáticas y especias e infusiones de hierbas,Raiz de astragalo,Raiz de astragalo (Astragalus spec.),1
pp382,Hierbas aromáticas y especias e infusiones de hierbas,Fruto del agracejo,Fruto del agracejo (Berberis vulgaris),1
pp120,Hierbas aromáticas y especias e infusiones de hierbas,Albahaca,"Albahaca (Ocimum basilicum, O. gratissimum)",1
pp383,Hierbas aromáticas y especias e infusiones de hierbas,Hojas de Laurel,Hojas de Laurel (Laurus nobilis),1
pp384,Hierbas aromáticas y especias e infusiones de hierbas,Flor de la bergamota silvestre,Flor de la bergamota silvestre (Monarda didyma),1
pp385,Hierbas aromáticas y especias e infusiones de hierbas,Membrillo de Bengala,Fruta de membrillo de Bengala (Aegle marmelos),1
pp386,Hierbas aromáticas y especias e infusiones de hierbas,Membrillo de Bengala,Hoja de membrillo de Bengala (Aegle marmelos),1
pp387,Hierbas aromáticas y especias e infusiones de hierbas,Membrillo de Bengala,Raíz de membrillo de Bengala (Aegle marmelos),1
pp388,Hierbas aromáticas y especias e infusiones de hierbas,Hoja de arándano,Hoja de arándano (Vaccinium myrtillus),1
pp389,Hierbas aromáticas y especias e infusiones de hierbas,Hoja de abedul,"Hoja de abedul (Betula pendula, B. pubescens)",1
pp390,Hierbas aromáticas y especias e infusiones de hierbas,Hierba de obispo,Hierba de obispo (Aegopodium podagraria),1
pp121,Hierbas aromáticas y especias e infusiones de hierbas,Neguilla,Neguilla (Nigella sativa),1
pp122,Hierbas aromáticas y especias e infusiones de hierbas,Morera negra,Morera negra (Morus nigra),1
pp123,Hierbas aromáticas y especias e infusiones de hierbas,Pimienta negra,Pimienta negra (Piper nigrum),1
pp124,Hierbas aromáticas y especias e infusiones de hierbas,Zarzamora,Zarzamora (Rubus fruticosus),1
pp125,Hierbas aromáticas y especias e infusiones de hierbas,Hoja de grosellero negro,Hoja de grosellero negro (Ribes nigrum),1
pp391,Hierbas aromáticas y especias e infusiones de hierbas,Iris versicolor,Iris versicolor (Iris versicolor),1
pp392,Hierbas aromáticas y especias e infusiones de hierbas,Hoja de boldo,Hoja de boldo (Peumus boldus),1
pp393,Hierbas aromáticas y especias e infusiones de hierbas,Borraja,"Borraja (Borago officinalis, B. pygmaea)",1
pp394,Hierbas aromáticas y especias e infusiones de hierbas,Borraja,"Borraja (Borago officinalis, B. pygmaea)",1
pp395,Hierbas aromáticas y especias e infusiones de hierbas,Borraja,"Borraja (Borago officinalis, B. pygmaea): deshidratada",1
pp126,Hierbas aromáticas y especias e infusiones de hierbas,Pimentero brasileño / Turbinto,Pimentero brasileño / Turbinto (Schinus terebinthifolius),1
pp396,Hierbas aromáticas y especias e infusiones de hierbas,Butxú,Butxú (Agathosma betulina),1
pp397,Hierbas aromáticas y especias e infusiones de hierbas,Butxú,Butxú (Agathosma betulina),1
pp398,Hierbas aromáticas y especias e infusiones de hierbas,Alforfón/Trigo sarraceno,Alforfón/Trigo sarraceno (Fagopyrum esculentum),1
pp399,Hierbas aromáticas y especias e infusiones de hierbas,Raíz de bardana,Raíz de bardana (Arctium majus),1
pp400,Hierbas aromáticas y especias e infusiones de hierbas,Algáfita,Algáfita (Sanguisorba species),1
pp401,Hierbas aromáticas y especias e infusiones de hierbas,Gitam / Herba gitanera.(Dictamnus albus),Gitam / Herba gitanera.(Dictamnus albus),1
pp127,Hierbas aromáticas y especias e infusiones de hierbas,Manzanilla,"Manzanilla (Matricaria recutita, Anthemis nobilis)",1
pp128,Hierbas aromáticas y especias e infusiones de hierbas,Alcaparro,Alcaparro (Capparis spinosa),1
pp129,Hierbas aromáticas y especias e infusiones de hierbas,Alcaravea,Alcaravea (Carum carvi),1
pp130,Hierbas aromáticas y especias e infusiones de hierbas,Cardamomo,Cardamomo (especies Elettaria y Amonum),1
pp131,Hierbas aromáticas y especias e infusiones de hierbas,Fruto del cardamomo,Fruto del cardamomo (Elettaria y Amonum spp.),1
pp641,Hierbas aromáticas y especias e infusiones de hierbas,Algarrobo,Algarrobo,1
pp402,Hierbas aromáticas y especias e infusiones de hierbas,Musgo de Irlanda,Musgo de Irlanda (Chondrus crispus),1
pp403,Hierbas aromáticas y especias e infusiones de hierbas,Casia,Casia,1
pp404,Hierbas aromáticas y especias e infusiones de hierbas,Aceite de recino,Aceite de recino (Ricinus communis),1
pp405,Hierbas aromáticas y especias e infusiones de hierbas,Nebeda / Hierba gatera,Nebeda / Hierba gatera (Nepeta species),1
pp406,Hierbas aromáticas y especias e infusiones de hierbas,Flor de pie de gato,Flor de pie de gato (Antennaria dioica),1
pp407,Hierbas aromáticas y especias e infusiones de hierbas,Corteza de catuaba,Corteza de catuaba (Erythroxylon catuaba martius),1
pp132,Hierbas aromáticas y especias e infusiones de hierbas,Apio,Apio (Apium graveolens),1
pp133,Hierbas aromáticas y especias e infusiones de hierbas,Centella,Centella (Centella asiática),1
pp408,Hierbas aromáticas y especias e infusiones de hierbas,Centaura menor,Centaura menor (Erythraea centaurium),1
pp134,Hierbas aromáticas y especias e infusiones de hierbas,Perifollo / Cerefolio / Perifolio,Perifollo / Cerefolio / Perifolio (Anthriscus cerefolium),1
pp135,Hierbas aromáticas y especias e infusiones de hierbas,Semilla de Chia,Semilla de Chia (Salvia hispanica),1
pp136,Hierbas aromáticas y especias e infusiones de hierbas,Escarola,Escarola (Cichorium intybus),1
pp137,Hierbas aromáticas y especias e infusiones de hierbas,Chiles,Chiles (especie Capsicum),1
pp409,Hierbas aromáticas y especias e infusiones de hierbas,Chirata,Chirata (Swertia chirata),1
pp138,Hierbas aromáticas y especias e infusiones de hierbas,Cebollino,"Cebollino (Allium schoenoprasum, A. odoratum)",1
pp410,Hierbas aromáticas y especias e infusiones de hierbas,Crisantemo,Crisantemo (Chrysanthemum species),1
pp411,Hierbas aromáticas y especias e infusiones de hierbas,Perifollo oloroso,Perifollo oloroso (Myrrhis odorata),1
pp412,Hierbas aromáticas y especias e infusiones de hierbas,Quina roja,Quina roja (Cinchona succirubra),1
pp139,Hierbas aromáticas y especias e infusiones de hierbas,Canela,"Canela (Cinnamomum zeylanicum, C. cassia)",1
pp140,Hierbas aromáticas y especias e infusiones de hierbas,Citronela,"Citronela (Cymbopogon winterianus, C. nardus)",1
pp141,Hierbas aromáticas y especias e infusiones de hierbas,Clavo,Clavo (Syzygium aromaticum),1
pp413,Hierbas aromáticas y especias e infusiones de hierbas,Licopodio,Licopodio (Lycopodium clavatum),1
pp414,Hierbas aromáticas y especias e infusiones de hierbas,Juncia real,Juncia real (Cyperus rotundus),1
pp415,Hierbas aromáticas y especias e infusiones de hierbas,Azúcar/nectar de cocotero,Azúcar/nectar de cocotero (Cocos nucifera),1
pp416,Hierbas aromáticas y especias e infusiones de hierbas,Codonopsis Raiz,Codonopsis Raiz (Codonopsis pilosulae),1
pp417,Hierbas aromáticas y especias e infusiones de hierbas,Hoja de café,"Hoja de café (Coffea arabica, C. canephora)",1
pp316,Hierbas aromáticas y especias e infusiones de hierbas,Hoja de café,Hojas de Café,1
pp418,Hierbas aromáticas y especias e infusiones de hierbas,Nuez de cola,Nuez de cola (Cola acuminata),1
pp419,Hierbas aromáticas y especias e infusiones de hierbas,Acedera,Acedera (Rumex species),1
pp420,Hierbas aromáticas y especias e infusiones de hierbas,Verónica común,Verónica común (Veronica officinalis),1
pp421,Hierbas aromáticas y especias e infusiones de hierbas,Corteza de condurando,Corteza de condurando (Marsdenia cundurango),1
pp142,Hierbas aromáticas y especias e infusiones de hierbas,Cilentro,Cilentro (Coriandrum sativum),1
pp143,Hierbas aromáticas y especias e infusiones de hierbas,Aciano,Aciano (Centaurea cyanus),1
pp422,Hierbas aromáticas y especias e infusiones de hierbas,Tanaceto,"Tanaceto (Tanacetum vulgare, T. balsamita)",1
pp423,Hierbas aromáticas y especias e infusiones de hierbas,"Carrizo, Grama","Carrizo, Grama (Agropyron repens)",1
pp424,Hierbas aromáticas y especias e infusiones de hierbas,Hoja de arándano rojo,Hoja de arándano rojo (Vaccinium vitis-idaea),1
pp144,Hierbas aromáticas y especias e infusiones de hierbas,Comino,Comino (Cuminum cyminum),1
pp145,Hierbas aromáticas y especias e infusiones de hierbas,Hojas de curry/ hojas de nim dulce,Hojas de curry/ hojas de nim dulce (Murraya koenigii),1
pp425,Hierbas aromáticas y especias e infusiones de hierbas,Cuscuta semillas,Cuscuta semillas (Cuscuta epithymum),1
pp426,Hierbas aromáticas y especias e infusiones de hierbas,Flores de margarita común,Flores de margarita común (Bellis perennis),1
pp427,Hierbas aromáticas y especias e infusiones de hierbas,Rosa de Damasco,Rosa de Damasco (Rosa damascena),1
pp428,Hierbas aromáticas y especias e infusiones de hierbas,Damiana,"Damiana (Turnera diffusa, var. aphrodisiaca)",1
pp146,Hierbas aromáticas y especias e infusiones de hierbas,Dientes de león,Dientes de león (Taraxatum species),1
pp147,Hierbas aromáticas y especias e infusiones de hierbas,Eneldo,Eneldo (Anethum graveolens),1
